metric,value
Total Cities Processed,1
Successful Cities,1
Failed Cities,0
Average Vegetation % (2020),10.22
Median Vegetation % (2020),10.22
Min Vegetation % (2020),10.22
Max Vegetation % (2020),10.22
Average Vegetation % (2024),35.05
Median Vegetation % (2024),35.05
Min Vegetation % (2024),35.05
Max Vegetation % (2024),35.05
Average Change % (2020→2024),24.82
Median Change % (2020→2024),24.82
Min Change % (2020→2024),24.82
Max Change % (2020→2024),24.82
Cities with Increased Vegetation,1
Cities with Decreased Vegetation,0
Cities with No Change,0
Total Processing Time (hours),0.14
Average Processing Time (seconds),515.25
